TRADEDATE,SBER_price,TATN_price,SBERP_price,PIKK_price,PLZL_price,AFKS_price,RUAL_price,GAZP_price,GMKN_price,MOEX_price,SBER_ret,TATN_ret,SBERP_ret,PIKK_ret,PLZL_ret,AFKS_ret,RUAL_ret,GAZP_ret,GMKN_ret,MOEX_ret
2015-04-13,74.1,303.0,53.5,192.0,1059.5,16.68,34.79,148.8,9839.0,74.5,0.0363636363636363,0.0195154777927322,0.0294400615739849,0.0,0.0236714975845411,-0.0023923444976076,-0.0166760881854155,0.0054054054054055,-0.0097624798711755,0.0136054421768707
2015-04-14,74.05,301.0,53.95,192.0,1045.0,16.37,34.49,144.4,9520.0,73.4,-0.0006747638326585,-0.0066006600660065,0.0084112149532711,0.0,-0.0136857008022651,-0.0185851318944842,-0.0086231675768898,-0.0295698924731183,-0.0324219941050919,-0.0147651006711408
2015-04-15,76.49,303.05,54.41,195.6,1090.0,17.12,34.7,150.1,9632.0,73.3,0.0329507089804186,0.0068106312292359,0.0085264133456903,0.01875,0.0430622009569376,0.045815516188149,0.0060887213685125,0.0394736842105263,0.0117647058823529,-0.0013623978201635
2015-04-16,76.5,313.0,54.5,189.2,1120.5,17.25,34.6,152.4,9480.0,76.0,0.0001307360439273,0.0328328658637189,0.0016541077007903,-0.0327198364008179,0.0279816513761468,0.0075934579439251,-0.0028818443804035,0.0153231179213857,-0.0157807308970099,0.0368349249658936
2015-04-17,72.5,292.2,50.11,186.0,1143.0,17.15,34.54,149.3,9460.0,73.6,-0.0522875816993464,-0.0664536741214057,-0.0805504587155963,-0.0169133192389006,0.0200803212851405,-0.0057971014492754,-0.0017341040462428,-0.0203412073490812,-0.0021097046413501,-0.0315789473684211
2015-04-20,73.5,301.2,49.29,188.4,1175.0,16.44,32.845,153.96,9590.0,75.59,0.0137931034482758,0.0308008213552362,-0.0163639992017561,0.0129032258064516,0.0279965004374453,-0.0413994169096207,-0.0490735379270411,0.0312123241795043,0.0137420718816068,0.0270380434782608
2015-04-21,75.24,304.5,50.69,187.0,1220.0,16.43,31.98,155.35,9700.0,76.1,0.0236734693877549,0.0109561752988047,0.0284033272469059,-0.0074309978768577,0.0382978723404254,-0.0006082725060828,-0.0263358197594762,0.0090283190439073,0.0114702815432743,0.006746924196322
2015-04-22,73.9,295.85,49.47,188.0,1316.0,16.25,31.99,150.8,9600.0,75.8,-0.0178096757044123,-0.0284072249589489,-0.0240678634839218,0.0053475935828877,0.0786885245901638,-0.0109555690809494,0.0003126954346466,-0.0292887029288702,-0.0103092783505154,-0.0039421813403416
2015-04-23,75.8,304.45,50.44,190.0,1270.5,15.9,31.0,150.15,9530.0,74.01,0.0257104194857915,0.0290687848571911,0.0196078431372548,0.0106382978723404,-0.0345744680851063,-0.0215384615384615,-0.0309471709909345,-0.0043103448275862,-0.0072916666666666,-0.0236147757255935
2015-04-24,75.75,297.0,50.88,188.5,1324.5,16.06,30.2,153.89,9719.0,75.2,-0.0006596306068601,-0.0244703563803579,0.0087232355273594,-0.0078947368421052,0.0425029515938606,0.010062893081761,-0.0258064516129032,0.0249084249084248,0.019832109129066,0.0160789082556411
2015-04-27,75.2,306.8,51.22,188.2,1400.0,16.05,30.325,152.05,9665.0,76.65,-0.0072607260726071,0.0329966329966331,0.0066823899371069,-0.0015915119363395,0.0570026425066063,-0.0006226650062265,0.0041390728476822,-0.011956592371174,-0.0055561271735775,0.0192819148936169
2015-04-28,75.7,309.9,50.39,190.1,1501.5,16.12,31.77,152.79,9673.0,74.35,0.0066489361702126,0.0101043024771836,-0.0162046075751659,0.0100956429330498,0.0725,0.0043613707165108,0.0476504534212696,0.0048668201249588,0.000827728918779,-0.0300065231572081
2015-04-29,75.2,296.75,49.71,190.5,1515.0,16.0,31.13,152.5,9552.0,74.03,-0.0066050198150594,-0.0424330429170699,-0.0134947410200436,0.0021041557075223,0.008991008991009,-0.0074441687344913,-0.0201447906830343,-0.0018980299757836,-0.0125090457975809,-0.0043039677202419
2015-04-30,76.9,292.35,50.0,192.0,1545.0,15.96,31.41,153.5,9640.0,77.0,0.0226063829787235,-0.0148272957034539,0.0058338362502514,0.0078740157480314,0.0198019801980198,-0.0024999999999999,0.0089945390298746,0.0065573770491802,0.0092127303182578,0.0401188707280832
2015-05-05,80.21,303.75,52.0,192.8,1587.5,16.3,31.21,156.33,10170.0,79.4,0.043042912873862,0.0389943560800409,0.04,0.0041666666666666,0.0275080906148867,0.0213032581453633,-0.0063673989175421,0.0184364820846907,0.0549792531120332,0.0311688311688311
2015-05-06,79.2,309.9,52.28,188.8,1610.0,16.25,31.3,155.25,10500.0,78.8,-0.0125919461413788,0.0202469135802467,0.0053846153846153,-0.020746887966805,0.0141732283464566,-0.0030674846625767,0.0028836911246394,-0.0069084628670121,0.0324483775811208,-0.0075566750629724
2015-05-07,76.5,301.3,50.72,192.7,1665.5,16.11,30.72,152.1,10201.0,76.0,-0.0340909090909091,-0.0277508873830266,-0.0298393267023718,0.0206567796610168,0.034472049689441,-0.0086153846153846,-0.0185303514376997,-0.0202898550724638,-0.0284761904761904,-0.0355329949238578
2015-05-08,75.5,303.25,50.79,194.8,1691.0,16.31,31.59,155.52,10540.0,73.49,-0.0130718954248365,0.0064719548622635,0.0013801261829653,0.0108977685521536,0.0153107175022515,0.0124146492861576,0.0283203125,0.0224852071005918,0.0332320360748945,-0.0330263157894737
2015-05-12,75.19,308.85,49.43,194.4,1590.0,16.2,31.0,154.2,10680.0,74.5,-0.0041059602649007,0.0184666117065128,-0.0267769245914549,-0.002053388090349,-0.0597279716144293,-0.0067443286327406,-0.0186767964545742,-0.0084876543209877,0.0132827324478177,0.0137433664444142
2015-05-13,75.24,303.2,50.0,194.3,1605.5,16.28,30.8,151.74,10435.0,73.5,0.0006649820454847,-0.0182936700663753,0.0115314586283632,-0.0005144032921809,0.009748427672956,0.0049382716049384,-0.0064516129032258,-0.0159533073929959,-0.022940074906367,-0.0134228187919462
2015-05-14,74.31,298.55,50.3,199.7,1585.0,16.58,31.3,151.8,10245.0,71.4,-0.0123604465709727,-0.0153364116094986,0.006,0.0277920741121975,-0.0127686079103083,0.0184275184275182,0.0162337662337661,0.0003954132068011,-0.0182079540009583,-0.0285714285714284
2015-05-15,75.05,296.7,50.36,199.8,1600.0,16.78,31.03,152.98,10288.0,72.25,0.0099582828690618,-0.0061966169820801,0.001192842942346,0.0005007511266901,0.0094637223974762,0.0120627261761159,-0.008626198083067,0.0077733860342554,0.0041971693509028,0.0119047619047618
2015-05-18,75.36,293.75,50.45,201.5,1613.5,17.0,30.74,151.9,10248.0,73.54,0.0041305796135908,-0.0099427030670711,0.0017871326449563,0.0085085085085083,0.0084375,0.0131108462455302,-0.0093457943925234,-0.0070597463720746,-0.0038880248833592,0.0178546712802769
